	1
"[the]	1
"a	1
"aesop's	1
"an	1
"autobiography",	1
"commentaries	1
"duff"	1
"every	1
"ex	1
"farmers'	1
"free	1
"house	1
"i	1
"invaded	1
"king	1
"melancholy,"	1
"military	1
"mother".	1
"neck	1
"old	1
"our	1
"own	1
"partly	1
"physical	1
"reading,	1
"robinson	1
"sally"	1
"spotty	1
"strong	1
"tad"	1
"the	4
"to	1
"unbroken	1
"war	1
"was	1
"willie"	1
&	1
(1820).	1
(1854);	1
(2010)	1
(called	1
(eddie)	1
(february	1
(now	1
(the	1
(their	1
(those	1
1,	2
10	2
10,	1
12,	5
13	1
15,	1
16	1
16,	2
160	1
1638.	1
16th	1
175	1
1780s.	1
1786.	1
18	1
1800s.	1
1806,	1
1807;	1
1809	1
1809,	1
1809;	1
1811	1
1814,	1
1815	1
1816	1
1818	1
1818,	1
1818.)	1
1819,	1
1828,	1
1830,	2
1830s,	2
1831,	1
1832,	1
1834	2
1835,	2
1835–36	1
1836,	3
1837,	2
1839	1
1840,	1
1841	1
1841,	1
1842,	1
1843	1
1844,	1
1844.	1
1846	1
1846,	2
1846.	2
1848	1
1849,	1
1850,	2
1850s,	1
1851,	1
1853	1
1853,	1
1854,	1
1854–60.	1
1858	1
1858,	1
1859	1
1860	2
1860,	1
1860.	1
1861	2
1861,	1
1861.	1
1862.	1
1863	1
1863.	1
1864	1
1865)	1
1865.	2
1871.	1
1875.	1
1985.	1
2,	1
20,	2
200	1
21,	1
22	1
23,	1
230	1
25,	1
277	1
300	1
31	1
4,	2
5,	1
51	1
6	2
80	1
816.5	1
<doc	1
a	95
a.	3
abandoned	1
abate	1
ability	1
able	1
abolish	1
abolished	1
abolition	2
abolitionism.	1
abolitionist	1
abolitionists	1
about	1
abraham	11
abraham,	2
absent,	1
acceptance	1
according	1
account	1
accused	1
acknowledged	1
acquired	2
acquitted.	1
acquitting	1
acre	4
acres	2
across	1
act	1
act.	1
additional	1
address	1
adept	1
adjacent	1
administration	2
admitted	1
adopted,	1
adulthood	1
adversary	1
advocated	1
advocation	1
affair	1
affectionate,	1
africa.	1
after	8
again	1
again,	1
against	5
age	4
age,	1
aggregate	1
agreed	2
alcohol,	1
all	6
allow	1
allowing	1
almanac"	1
almost	1
along	1
also	6
although	1
alton	1
amended	1
amendment	1
america	1
american	4
among	2
amounted	1
an	17
ancestry	1
ancestry.	1
and	112
angle,	1
angrily	1
ann	1
another	4
another,	1
anti-slavery	1
anti-war	1
anxiety	1
any	2
appealing	1
appeared	2
appointed	1
appraised	1
april	4
argued	1
argues	1
arguments.	1
arising	1
armstrong	1
armstrong,	1
army	1
arrival	1
arriving	1
articulated	1
as	30
asked	1
assailant	1
assassinated	1
assassination	1
assassination.	1
assembly.	2
associated	1
astute	1
asylum	1
at	12
athletic.	1
attack	1
attack.	1
attacked	1
attacked,	1
attained	2
attractive	1
attributed	1
audacity	1
august	3
averted	1
avid	1
avoid	1
axe.	1
back	1
bad	2
baker	1
balance	1
banking,	1
banks,	1
banned	1
baptists	1
bar	1
barges	1
barret's	2
barret,	1
based	1
be	4
be,	1
became	11
because	5
beckwith,	1
become	1
been	5
before	5
began	6
begun	1
behind	1
being	2
bible",	1
bill	2
birth	1
bitter	1
black	1
blackstone's	1
blame	1
blockade	1
blocked	1
blood	2
blood".	1
bloodiest	1
boat	1
boats	1
book	1
books.	1
booming	1
booth,	1
border	1
born	8
born;	1
both	5
bought	3
bound	1
boyhood	1
boys	1
boys".	1
brawn	1
bridge	1
bridge.	1
bridges.	1
british	1
broke	1
building	1
bunyan's	1
bush	1
business	2
but	13
butterfield,	1
buy	1
by	23
cabin	1
cabinetmaker,	1
called	1
campaign	4
canal	2
canal,	1
canceled	1
candidates	1
capital	1
captain	3
capture	2
career	3
carefully	1
carpenter.	1
case	2
case,	1
cases	1
cases,	1
cast	1
centered	1
central	1
challenge	1
challenges	1
changed	1
charge	1
charter	2
child	2
childhood.	1
children	1
children",	1
children,	1
children.	4
children:	1
chores	1
church,	1
ciphering,	1
cited	1
civil	1
claimant	1
claimed	1
clary's	1
clay	2
clay".	1
clear	1
client.	1
clients	1
clinical	1
close	2
closely	2
closing	1
coles	1
collaboration	1
colonization	1
columbia	1
come	1
commanding	1
commercialized,	1
commissioner	1
commissioner.	1
committed	1
community	1
company	4
compensation	1
competitive	1
complex	1
complied	1
compromise	2
compromise,	1
concentrated	1
condition	1
confederate	4
confederates	1
conflicts	1
confronted	1
congress	3
congress,	1
congress.	1
congressman	2
conservative	1
considered	2
consistently	1
consolation	1
constitution	1
constitution,	1
constitutional	1
construction	1
contempt	1
continued	1
continues	1
contrasts	1
control	2
controversial	1
copperheads),	1
corporation	1
corpus,	1
could	2
counsel,	1
country	1
county	4
county).	1
county,	9
county.	4
couple	1
court	4
courted	1
courtroom;	1
courts	2
courts,	1
courtship	1
cousin,	1
cousin.	2
credibility	1
credit	1
creek	2
crime	1
criminal	1
crisis.	1
cross-examinations	1
crowd	1
crowds	1
crusoe",	1
customary	1
dancing,	1
daughter	2
daughter,	1
days	1
death	1
death,	1
deaths	1
debate	1
debated	1
debates	1
decatur.	1
december	3
december.	1
decided	2
decision	3
decision.	1
decisions	2
declaration	1
declined	1
deeply	1
defended	2
defoe's	1
defusing	1
delegation,	1
demand	1
demanded	2
democracy.	1
democrat	1
democrat,	1
democratic	2
democrats	2
democrats"	1
democrats,	1
dennis	1
denton	1
depression.	1
derisively	1
descendant	1
descendant,	1
desire	1
despised	1
despite	1
determine	1
device	1
did	2
died	7
difficulties	1
dimensions	1
disagree	1
disapproved	1
disciple	1
disliked	1
dispute	3
disputed	1
disputes	1
distant	2
distraught	1
district	1
district.	1
divided".	1
divisiveness.	1
doctrines	1
doing	1
done	2
douglas	1
douglas'	1
douglas,	1
douglas.	1
down	2
drafting	1
drastically	1
draw	1
due	1
during	4
e.	1
each	3
early	6
earnings	1
echoed	1
economic	1
economy	2
economy.	1
education,	2
edward	2
effectively	1
effects	1
effort,	1
eight	1
eighth	1
either	1
eject	1
elected	3
elected),	1
election	3
election,	1
election.	2
eleven-year-old	1
elizabethtown,	2
emancipation	1
emphasized	1
enacted	1
encouraged	1
ended	3
ended.	1
ending	1
endorsement	1
