	1
"al-andalus"	1
"foederati",	2
"hispania"	1
"iberia",	1
"la	1
"liberal",	1
"limes"	1
"moderate"	1
"or	3
"reactionary",	1
"reconquest"	1
"reconquista"	2
"romanization"	1
("augusta	1
("caesaraugusta"),	1
("legio	1
("pax	1
("tarraco"),	1
("valentia"),	1
(5thâ€“8th	1
(8thâ€“15th	1
(andalusia),	1
(ebro).	1
(for	1
(germanic)	1
(in	1
(latin	1
(modern	1
(present	1
(sarmatian)	1
(second	1
(see:	1
(such	1
(the	2
(transformed	1
(with	1
1.2	1
1.4	1
1066).	1
10th	2
1250,	1
12th	1
133	1
1492,	1
15,000	1
1500s	1
1516,	1
1516.	1
1650s,	1
17th	1
181	1
1813,	1
1874â€“1931	1
1898.	1
19	2
1960s	1
1970s.	1
1975	1
1975.	1
1978.	1
1986	1
1992),	1
1999.	1
19th	1
2007â€“08	1
2nd	1
306.	1
32,000	1
35,000	1
360,	1
406,	1
410.	1
412,	1
415,	1
415.	1
546	1
587,	1
5th	1
5thâ century,	1
640	1
6th	1
711	2
711,	1
718	1
722.	1
732.	1
739,	1
844	1
8th	2
912;	1
942,	1
9th	1
<doc	1
a	32
abbasid	1
abbasids	1
abbasids.	1
abd	1
abd-ar-rahman	3
able	2
about	3
achieved	1
across	2
ad.	1
additional	1
admitted	1
advance	1
advancing	2
advantage	2
advised	1
affairs.	1
africa	2
africa,	1
after	11
after,	1
age	3
age.	1
ages,	1
ages.	1
ago,	1
ago.	2
al-andalus	4
al-andalus).	1
al-andalus.	2
al-rahman	1
al-walid	3
alans	1
alans,	2
all	4
almerã­a,	1
almoloya	1
along	4
also	1
altamira,	1
although	1
american	1
among	1
an	7
anatomically	1
and	105
antiquity	1
any	1
apart	1
apex	1
apparently	1
arab	5
arabian	1
aragon,	1
archeological	1
are	3
area	1
areas	1
argar,	1
arian	2
arianism	1
arianism.	1
aristocratic	1
armed	1
armies,	1
army	1
army,	1
arose,	1
around	2
arrived	5
arriving	2
art.	1
as	25
ascent	1
assimilated	1
assisted	1
asturian	1
asturians,	1
asturias	1
asturias,	1
asturias.	1
at	10
atapuerca;	1
attempted	1
attention	1
augusta"),	1
back	1
badajoz	1
balance	1
barbarians	1
base	2
based	1
basis	1
basque	1
battle	4
bc	1
bc,	2
bc.	3
be	1
became	1
been	1
before	2
began	3
began,	1
beginning	2
being	1
benefit,	1
berber	1
between	8
bin	1
bishops	2
blessings	1
boom	1
borders.	1
born	1
both	3
bourbon	3
bp.	1
breaking	1
brief	1
briefly	1
bring	1
britain,	2
bronze	1
brought	1
building	1
built	1
bulk	1
bureaucracy	1
but	5
by	20
byzantine	2
c.	1
caliph	4
caliphate	4
caliphate,	1
caliphate.	1
caliphs.	1
came	2
capital	1
carlos	1
cartagena).	1
carthaginians	1
carthaginians,	2
carthago	1
castile	2
catholic	4
catholicism	3
catholicism,	1
cave	3
celtiberian	2
celtiberians,	1
celtiberians.	1
celts	2
centuries	1
centuries).	2
centuries.	1
century	8
century,	4
century.	1
certainly	1
ceuta	1
challenged	1
charles	1
christian	10
christianity	1
christians	1
christians.	1
citerior	1
cities	1
cities,	1
civil	2
class	1
class.	1
classical	2
clergy	1
climaxed	1
coalesced	1
coast	2
coast,	1
coast.	2
codes	1
coincided	1
collapse	1
colonies	1
colonies,	1
colony	1
combined	1
commander,	1
community	1
compared	2
completed	1
completion	1
composed	1
concerned	1
conflict	2
conquered	1
conquering	1
conquest	3
conquest.	1
conquests.	1
consent	1
conservative	1
considered	1
conspicuous	1
constantinople	1
constitution	1
constitutional	3
constrained	1
contact,	1
continuity	1
continuous	1
contribute	1
contributed	2
control	5
controlled	2
conversion	1
converted	2
convivencia",	1
corresponding	1
could	1
council	3
councils	1
count	1
country	2
country),	1
countryside.	2
covadonga,	2
created	1
creed	1
crisis	2
cro-magnons	1
crossed	2
crossing	2
cultural	1
culturally	1
culture	6
culture.	2
cultures	3
current	1
cã³rdoba	2
cã³rdoba,	1
cã³rdoba.	1
damascus.	1
danube	1
date	1
dates	3
day	2
death	2
debated	1
debt	1
decade	1
decades	1
decayed.	1
decisive	2
declared	2
decline	1
decline,	1
decline.	1
declined,	1
deep	1
defeated	2
defenses	1
degree	2
democracy.	1
democratic	1
depopulation	1
descended	1
destabilised	1
destruction	1
developed	1
dictatorship,	1
did	4
different	1
disintegrated	1
disordered	1
disparate	1
dissension	1
divided	1
doctrines	1
dominance,	1
dominated	2
dominion	1
done	1
down	1
downfall,	1
drawing	1
drove	1
during	9
dwindled	1
dynasty	2
dynasty),	1
earlier,	1
earliest	1
early	7
eastern	2
economic	3
economy	2
economy,	1
economy.	1
effect	1
effectively	1
efforts	1
egyptian	1
eighty	1
el	1
elvira	1
emerged	1
emerita"),	1
emir	3
emir"	1
emirate	1
emirate"	2
emirate.	1
emperors	1
empire	9
empire's	1
empire.	1
empire;	1
emporion	1
empãºries),	1
encompassed	1
end	1
end.	1
ended	3
ended,	1
enduring	1
enjoyed	1
enlisted	1
entered	3
era	2
escaped	1
established	3
establishment	3
europe	3
europe.	2
european	4
eurozone	1
even	3
events	1
eventually	3
evidence	1
example,	1
exception	1
exchange	1
exert	1
existed	2
existing	2
expand	1
expanded	2
expansion	3
expense	1
experienced	1
extended	1
extends	1
factions.	1
faintest	1
fall	1
famines	1
famous	1
far	2
fell	2
felt	3
feudal	1
financial	1
first	6
fleeing	1
flint	1
food,	1
for	14
force	1
force.	1
forces	2
form	2
former	3
fortified	1
fossils	1
fought	2
found	2
founded	1
founding	1
fragmented	1
frameworks	1
france	2
france)	1
francisco	1
franco	1
franco,	1
franco-spanish	1
franks	2
french	1
from	13
frontier	1
frozen	1
furthermore,	1
g20	1
g6.	1
g8	1
galicia,	1
gallaecia,	1
gathered	1
gaul	1
gaul,	1
germania	1
germanic	6
germany	1
germany,	1
germany.	1
gibraltar,	1
given	1
golden	2
gothic	1
government	1
gradually	2
granada	3
granted	1
great	2
greek	1
greeks	3
greeks,	1
groups	2
growth	1
guadalete.	1
guadalquivir	1
guest.	1
habsburg	4
had	3
hadrian,	1
happened	1
harmless.	1
has	1
having	2
headed	1
hejaz,	1
held	1
high	2
hispania	8
