	3
"a3"	1
"acidus/acä“re"	1
"aqueous"	1
"eal"	1
"free	1
"greenwich	1
"hydro-"	1
"in	1
"k"	1
"k".	1
"k"a	4
"k"a.	1
"loses"	1
"npl"	1
"sour")	1
"ta(bih)"	1
"ta(npl)",	1
"tai(npl)".	1
"temps	1
"the	1
"utc(npl)"	1
("echelle	1
(1	3
(a	2
(and	1
(bih)	1
(bipm,	1
(ch3cooh),	1
(dissolved	1
(equivalent	1
(from	1
(ga)	1
(h+)	2
(h+),	1
(h3o+),	1
(ha)	1
(hcl)	1
(like	1
(nh3),	1
(not	1
(npl).	1
(ohâˆ’)	1
(or	1
(protonation	1
(see	1
(tai)	1
(tai,	1
(tcb),	1
(tcg),	1
(the	3
(tt).	2
(used	1
(utc),	1
(vinegar	1
+	3
,	1
-ide	1
-log10	1
00:00:00)	1
00:00:00),	1
00:00:32.184)	1
10	1
10âˆ’12.	1
10âˆ’7	1
13	1
1884.	1
1923	2
1955	1
1955,	2
1956,	1
1958	1
1958,	1
1958:	1
1961,	1
1963	1
1967	1
1967,	1
1968.	1
1969.	1
1970s,	1
1971	1
1971,	1
1972,	1
1972.	1
1977	2
2007	1
2012	1
2436204.5	1
2443144.5	1
2443144.5003725	1
25	1
25â â°c	1
30	1
32.184â s.	1
35	2
400	1
50	1
7.	2
</doc>	1
<doc	2
=	2
[h2o]	1
a	75
a.	1
a.1	2
ability	2
about	1
above	1
accept	1
acceptor.	1
accepts	2
accompanied	1
according	3
accurately,	1
acetic	3
acid	35
acid)	1
acid,	1
acid-base	10
acid.	3
acid;	2
acidic	1
acidic.	1
acidity	1
acidity,	1
acids	18
acids,	2
acids.	6
acids:	1
act	1
activates	1
acts	4
added	4
added,	1
addition	1
advantages	1
against	1
ahead	1
alcohols	2
all	8
alone	2
also	8
alternatively,	1
although	1
altitudes	1
aluminium	1
am,	1
amines	2
ammonia	4
ammonia,	1
ammonium	2
an	28
and	63
anion	1
anion,	1
anions.	1
another	2
any	4
anything	1
apart	1
applied	2
approximated	1
approximating	1
aqueous	6
are	37
arranged	1
arrangement	1
arrhenius	15
arrhenius's	1
as	26
aside	1
assigned	1
association	1
assumed	1
astronomical	2
at	15
atom	2
atomic	19
atomic"	1
atomichron	1
atomique	2
atoms.	1
attributed	1
average	4
averaging	2
aâˆ’	1
aâˆ’,	1
baking).	1
barycentric	1
base	4
base,	1
base.	4
base;	1
based	3
bases	2
basic).	1
basis	1
batteries),	1
be	30
became	1
because	8
become	1
been	2
began	3
began.	1
beginning	2
behaves	1
being	1
below.	1
benzene	1
benzene)	1
better	2
between	2
bf3	1
bih	2
bih's	1
bipm	1
blue	1
bond	3
bond.	1
bonds	1
boric	1
boron	2
both	5
boulder,	1
brackets	1
broadcast	1
broadcast,	1
broadcasts.	1
broken	1
brã¸nsted	9
brã¸nsted-lowry	10
bureau	3
but	7
by	21
bâ€”f	1
caesium	4
caesium.	1
calcium)	1
calculate	1
