	1
"alaska"	1
"alyeska,"	1
"bearded	1
"cfb")	1
"cfc")	1
"denali"),	1
"great	1
"object	1
"pray	1
"st.	2
"the	1
($4.74/km2).	1
()	3
(1729â€”1735).	1
(also	1
(ancsa)	1
(canada)	1
(haines,	1
(i.â e.,	1
(in	1
(including	1
(kã¶ppen	2
(mostly	1
(see	1
(specifically,	1
(the	1
(which	1
(ð?ð»ñ?ñ?ðºð°)	1
-60	1
10	3
100	2
100,000	1
10000	1
101	1
11,	1
12	1
1200	2
150	1
16	2
16000	1
1648	1
1732	1
1741,	1
1764â€“1765	1
1774	1
1784.	1
1789	1
17th	1
18	1
1800,	1
180â°	1
1830s	1
1860s,	1
1867,	1
188320	1
1887,	1
18th	2
1912.	1
1915,	1
1959.	1
1971,	1
1971.	1
1991	1
1998	1
21,	1
22	1
2250	1
23,	1
23.8%	1
27,	1
3	1
3,	1
30,	1
300	1
30s	1
34	1
34000	1
35	1
44	1
48".	1
49th	1
4th	1
50	2
500	2
65%	1
663,268	1
7.2â million	1
735,132	1
75	1
8	1
87	1
90s	1
<doc	1
a	26
a.	1
aboard	1
about	2
above	3
abundance.	1
accepted	1
according	2
acre	1
acreage	2
across	1
act	1
act.	1
action	1
active	1
actively	1
administrative	1
admitted	1
advertisements	1
after	1
alaska	53
alaska's	4
alaska,	7
alaska.	3
alaskan	2
alaskans	1
alaskans)	1
aleut	2
aleut,	1
aleutian	6
aleutians	1
alexander	1
all	4
allotments	1
allowing	1
almost	1
alone.	1
along	3
also	11
although	3
alutiiq	1
america	2
america.	1
america;	1
american	5
amount	1
an	10
anchorage	4
anchorage,	1
anchorageâ â€“	1
anchored	1
ancsa	1
and	72
annette	1
annual	1
annually.	1
another	2
apart.	1
approximately	3
archipelago	1
arctic	8
are	17
area	10
area,	4
area.	2
areas	2
arm,	1
around	4
arrival	1
arts.	1
as	23
ashore	1
aside	1
assert	1
assistant	1
associate	1
associations	1
at	3
athabaskan	1
attu	1
august	1
authority	1
autonomous	1
average	3
average,	1
averages	2
averaging	1
barrow	1
barrow,	1
based	1
basis,	1
bay	1
be	8
because	1
becoming	1
been	2
before	3
began	1
being	3
believe	1
belorussian	1
below	1
below).	1
bering	9
bethel	1
between	2
big	1
border	1
bordered	1
bordering	1
borders	1
boroughs,	1
boroughs.	1
both	4
bridge.	1
brief,	1
british	5
bucareli	1
building.	1
built	1
bureau	2
but	6
by	21
california,	1
called	1
came	2
can	3
canada).	1
canada,	1
canadian	3
cannot	1
capital	3
caribou	1
carried	1
cases,	1
ceded	1
central	2
central.	1
cents	1
century	1
century,	1
century.	2
chain	2
chain,	1
changes	1
chukchi	2
chukotka	1
circle)	1
city	2
city,	1
city.	1
claim	1
claims	1
classification:	1
clearer.	1
cleveland,	1
climate	11
climate.	1
closest	1
coast,	1
coast.	1
coastal	1
coastline	1
cold	1
colloquial	1
colonial	1
colonization	1
colonization.	1
columbia	4
columbia,	1
combined	2
combined.	1
communications.	1
communities	2
company	1
complex	1
comprising	1
cone	1
congress,	1
connected	1
connections	1
consider	1
considered	2
considering	1
consisting	1
contact	1
containing	2
contains	2
contiguous	2
continent	1
continent,	2
continent.	1
continental	4
cool	2
cordova	1
cordova.	1
corporation	2
corporations	2
corporations'	1
cossak	1
could	1
counting	1
countries.	1
cousins	1
cover	1
covers	2
created	1
creek	1
crew	1
crude	1
date	1
daurkin,	1
day.	1
days	1
daytime	1
defined	1
definition	1
degree	1
delta,	1
deltas	1
demarcating	1
denali	1
denied	1
densely	1
dependence	1
derived	2
descent	1
desert,	1
determined	1
devastating	1
developed	1
dezhnyov's	1
differences	1
dillingham	1
diomede	3
direct	1
directed".	1
disruption.	1
dmitry	1
dna	1
dollars	1
dominated	2
done	1
doyon,	1
drawn	1
due	3
during	4
e6acre	1
e6acre,	2
e6acre.	1
early-to-mid-19th	1
earth,	1
east	1
east,	1
eastern	2
easternmost	2
economy	1
economy.	1
effect.	1
effectively,	1
empire	1
enjoy	1
entire	3
entitlement	1
epidemics	1
established	1
etymology.	1
european	5
even	2
evidence	1
example,	1
exclave	2
excluded.	1
expanded	1
expedition	3
expeditions	2
experienced	1
exploitation	1
exploited	1
explorer	1
extends	2
extension	1
extreme	1
extreme,	1
extremity	1
f.	1
fairbanks	1
fairbanks.	1
fall	3
falls	1
far	2
farther	1
fatalities	1
features.	1
federal	1
field.	1
figuratively	1
finest	1
first	4
fish	1
fishing	1
flatlands).	1
following	1
for	11
forces	1
forest	1
forest,	1
forests,	1
formed	1
former	1
fort	2
found	2
founded	2
freezing	1
from	11
ft	1
ft.	1
fuji.	1
fur	2
further	1
fyodorov	1
gabriel"	1
gas,	1
gave	1
generally	1
geographer	1
geography.	1
geologists	1
gets	2
glacier	2
glaciers,	1
government	1
grant	1
granted	1
ground	1
grover	1
gulf	2
gvozdev	1
gwich'in	1
had	4
haida,	1
half	2
has	6
have	3
hawaii	1
hawaii.	1
held	1
hemisphere,	2
here	1
here,	1
here.	2
high	4
highest	4
highway	3
his	1
history.	1
hold	1
holdings	2
home	4
homesteading-related	1
how	1
however,	2
however.	1
hyder	1
hypothesis	1
hypothesis,	1
i.	1
ice	1
icons".	1
id="624"	1
identified	1
idiom,	1
ii.	1
in	78
in.	1
included	2
including	1
independently.	1
indigenous	3
individual	2
industries,	1
inhabited	1
inheritance	1
initial	1
inland	1
inside	2
interests	1
interior	3
interior,	1
interior.	2
international	1
into	3
introduced	1
inupiat	2
is	62
is,	1
is.	1
island	5
island,	1
islands	6
islands,	2
islands.	2
it	18
its	6
itself	1
january	2
japan's	1
japanese	1
judged	1
july,	1
june	1
juneau	1
juneau,	2
just	2
kamchatka	1
keep	1
kenai	1
ketchikan	1
ketchikan,	1
kheuveren	2
kinship	1
kiska,	1
known	5
kobuk	2
koches	1
kodiak	1
kotzebue	2
koyuk	1
krai)	1
lakes.marshlands	1
land	10
land",	1
land,	1
land.	1
landowner	1
lands,	1
large	4
larger	3
largest	12
late	1
later	1
later,	1
least	2
led	1
legal	1
less	4
light	1
limited	1
line	1
linguistic	1
link	1
literally,	1
little	2
live	1
lived	1
lives	1
local	1
local,	1
located	3
locations	1
locations.	1
long,	1
longer	1
low	1
low-to-mid	1
lower	1
lowest	5
m.	1
mainland	2
mainland.	1
make	1
makes	1
making	1
managed	2
management	1
management,	1
manages	2
many	3
march	1
margin,	1
marine	1
market	1
market,	1
massive	2
matanuska-susitna	1
matrilineal	1
may	2
mckinley	1
means	1
men"	1
metlakatla.	1
metropolitan	1
mi	6
mid-19th	1
mid-latitude	1
mild	1
milder	1
million	1
moderate	1
modern	1
montana.	1
months.	1
more	6
most	5
mostly	4
mount	4
mountains	1
much	1
much-contested	1
multiple	1
multitude	1
myriad	1
name	2
names	1
national	9
native	7
natives.	1
natural	2
navigator	1
navy	1
near	2
nearly	1
newly	1
next	2
nikolai	1
no	1
non-contiguous	1
non-indigenous	1
nootka	1
north	16
north,	1
north.	2
northern	3
northern,	1
northernmost	1
northernmost,	1
northernmost.	1
northwest	4
northwest,	1
northwest.	1
not	4
now	2
numerous	1
occasionally	2
occupied	4
occur	1
occurred	2
occurring	1
occurs	1
ocean	4
ocean.	1
oceanic	3
october	1
of	103
official	1
officially	1
often	6
oil	1
oil,	2
okrug	1
on	21
one	6
only	5
onward,	1
open	2
opportunities.	1
or	3
order	1
organized	2
other	5
otter	1
out	1
outbreaks	1
over	6
own	1
owned	2
ownership	1
ownership.	1
owns	2
pacific	6
pacific.	1
panhandle	1
park	1
