	5
"a	1
"america	10
"america"	1
"america,	1
"auld	1
"elbow	1
"from	1
"god	1
"late	1
"materna",	1
"materna".	1
"non-p".	1
"non-q"	2
"o	2
"only"	1
"p"	4
"pikes	1
"purple	1
"q"	1
"q",	2
"q".)	1
"the	8
"white	1
'til	1
("non-p"	1
(disambiguation)	1
(disambiguation)">	1
(from	1
(or	1
(while	1
1	1
100	1
11	2
16;	1
1882,	2
1892.	1
1893,	1
1895.	1
1903,	1
1904	1
1904.	1
1910	3
1913.	1
1929.	1
1952.	1
1972,	1
1976,	1
1976.	1
1980.	1
2	1
2001	1
2001.	1
22	1
33,	1
58	1
82	1
98	1
</doc>	2
<doc	3
<poem	1
a	17
a.	2
account	1
ad	1
adaptable	1
adapted	1
addition	2
additionally,	1
adkins,	1
administration,	1
affirming	2
after	1
age	1
aired	1
alabaster	1
all-star	1
also	2
alumni	1
amended	1
america	1
america!	2
america's	1
america,	1
american	4
americans,	1
americans.	1
an	6
and	22
anthem	2
anthem,	1
anthem.	1
antlers	1
anxious	1
any	1
applied	1
are	1
argument	2
as	17
asked	1
asserted	1
at	14
atlantic	1
atop	1
attacks,	1
attacks.	1
attacks;	1
attain	1
austin	3
austin,	1
authors	1
baccalaureate	1
back	1
background	1
backgrounds	1
banner	1
banner"	2
banner",	1
banner".	1
bates	6
bates's	1
bates,	2
bates:	1
be	4
beautiful	1
beautiful"	9
beautiful".	2
beautiful">	1
become	1
been	2
best	1
bicentennial,	1
billy	1
bless	1
book	2
books.	1
bowl	1
boys,	1
brenda	1
briefly	1
broadcast	1
buildings;	1
but	1
by	11
called	1
came	1
can	3
canadian	1
capital	1
capture	1
carolyn	1
caught	1
cbs	1
celebrated	1
changing	1
charles	1
charlie	1
chart	1
charters	1
charts,	1
charts.	1
chicago,	1
china	1
choirmaster	1
church	2
cited	1
city"	1
city,	1
closed	1
coca-cola	1
college,	2
college.	1
collin	1
colonies	1
colorado	4
colorado,	2
columbian	1
combined	2
come	1
commemorate	1
commencement,	1
commercial	1
commonly	1
company	1
compose	1
composed	3
conclusion	1
condition	1
coney	1
confusion	1
congregationalist"	2
congregations	1
consequent	1
consequent">	1
consequent,	1
considered	1
contained	1
continues	1
contraposition.	1
converse	3
convocations,	1
corresponding	1
could	1
country	2
cried	1
cuff	1
currently,	1
dan	1
david	1
dawn	1
day	1
dean,	1
dear,	2
death	1
depth.	1
designate	1
dichotomy	1
died	1
different	2
differently,	1
discusses	1
down	1
down.	1
due	1
during	2
early	1
easier	1
easily	1
edition	1
effort	1
efforts	1
either	1
elapsed	1
ellen	1
english	2
entered	1
equal	1
error,	1
established	1
esteem	1
even	1
events	2
existing	1
exposition	1
f.	1
factors	1
fallacy	2
false	1
