	1
"albedo"	1
"albus"	1
"photometria".	1
"planetary	1
"reflection	1
"white",	1
"whiteness"	1
"î¸""i"	1
'black'	1
("phase	1
(),	1
(a-si:h)	1
(and	2
(both	1
(brdf)	1
(c-si)-based	1
(cooling)	1
(e.g.	2
(e.g.).	1
(early	1
(generally	1
(geometric)	1
(higher	1
(measuring	2
(not	1
(or	2
(see	1
(solar	1
(the	2
(v-band)	1
0.04	1
0.04.	1
0.05.	1
0.09	1
0.1	1
0.12,	1
0.15	1
0.15.	1
0.18	1
0.2	1
0.3.	1
0.4	1
0.4.	1
0.8.	1
0.9	2
0.96.	1
0â â°c.	1
1	1
10%	1
10%.	1
15â â°c.	1
1760	1
22	1
27â â°c.	1
30	1
35%	1
50%	1
99%	1
<doc	1
a	47
about	10
above,	1
absolute	3
absorb	1
absorbed	2
absorption	1
according	1
accurately	1
achieve	1
across	2
acts	1
actually	1
adding	1
additionally	1
affect	1
affects	2
afforestation	1
afternoon,	1
air	5
airless	1
albedo	55
albedo",	1
albedo)	1
albedo,	12
albedo.	4
albedos	7
albedos,	1
albedos.	2
albedoâ€“temperature	2
all	2
allow	1
allowing	1
also	3
although	3
always	1
among	1
amorphous	1
amount	2
an	9
analysis	1
analyzes	1
and	65
angle	4
angle"),	1
angle,	2
angle.	1
angles	4
another	1
antarctic	1
antarctica	1
any	3
applications	1
applications.	1
applying	1
appreciable	1
approaching	1
appropriate	1
approximated	1
approximation.	1
aqua	1
aquaplanetâ€”the	1
arctic	1
are	14
area	3
area's	1
areas	11
around	1
as	18
as:	1
asteroid	1
asteroids	1
asteroids.	1
astronomical	5
astronomy	1
astronomy,	1
at	7
average	8
away	1
bands	1
based	1
basic	1
be	12
became	1
because	12
becomes	1
been	1
behind	1
being	2
below	1
belt	1
benefits	1
best	1
better,	1
between	4
beyond	1
bi-hemispherical	3
bias	1
bidirectional	1
big	1
black	2
black-sky	2
board	1
bodies	1
bodies.	1
body	3
body.	1
bond	1
brdf	1
brightness	1
broad	1
bubble	1
buildings.	1
but	3
by	12
calculated	2
calculating	1
can	9
cannot	2
caps	1
carbon	2
case	1
cause	2
caused	1
causes	3
cavities	1
centre	1
change	3
changes	2
changes.	1
characterization	1
characterize	1
charcoal,	1
climate	6
climatology,	1
clothes	2
clothing.	1
cloud	1
clouds	1
clouds.	1
coefficient",	1
cold	3
colder,	1
colour	1
comes	2
comet	1
commercial	1
common	3
commonly	1
commonplace	1
compared	1
complicated	1
complicates	1
compounds.	1
comprises	1
concept	1
concerned	1
condenses	1
condenses,	1
conditions	1
confusion.	1
coniferous	1
considered	1
containing	2
content	2
continental	1
contrast,	1
contribution	1
control	1
cool;	1
cooling	4
cooling.	1
coriolis	1
correlation	1
cosine	1
could	1
counterparts,	1
cover	2
cover,	1
covered	2
covering	1
creates	1
cryoconite,	1
crystalline	1
current	1
currently	1
curve	1
dark	2
darkening	1
darkest	1
deciduous	1
deepening	1
deeply	1
defined	1
deforestation	2
deforestation).	1
degrees	1
depend	1
dependence	1
depending	1
depends	3
derived	1
describe	1
desert	1
desert,	1
detailed	1
develop	1
devices.	1
diameter	2
differ	1
differences	1
different	7
differently	1
diffuse	2
diffusely).	1
dimensionless	1
direct	1
directional	3
directional-hemispherical	3
directions	1
directly	2
dirty	1
displaying	1
distance,	1
distribution	2
distribution.	1
do	1
does	2
down	1
drives	1
driving	2
drop	2
dry	1
dry,	1
due	7
dust	1
dynamic	1
earth	6
earth's	2
earth,	3
earth:	1
effect	9
effect.	2
effective	1
effects	5
effects.	4
electrical	1
electromagnetic	1
em	1
enceladus,	1
energy	3
enough	1
entire	1
entirely	1
environmental	1
equations	1
eris,	1
errors	2
essentially,	1
estimated	1
estimates	1
estimates,	1
evapotranspiration	2
evapotranspiration.	1
even	1
eventually	1
evergreen	1
example,	2
examples	1
except	1
exhibits	1
exploiting	1
expressed	2
extended	1
external	1
extremely	1
fallen	1
far	2
farms),	1
features.	1
feedback	1
feedback).	1
feedback.	2
field	1
first	1
five	1
flat	1
flow	2
fluctuation	1
foamed	1
for	17
forest	2
forested	1
forests	4
forests,	1
forests.	1
form	4
formula_1,	1
formula_2	1
formula_3.	1
formula_4	1
formula_6,	1
formula_7	1
formula_8	1
formula_9	1
found	3
four	1
frequency	1
fresh	2
freshly	1
fresnel	2
from	15
frozen	1
function	2
further	2
further,	1
gas,	1
general,	1
generally	2
geological	1
geometric	1
given	2
gives	1
glaciers	1
glaciers,	1
glint	1
graph).	1
grass	1
great	1
greater	1
greater.	1
greatly	1
greenhouse	2
hadley	1
hapke	1
has	4
have	13
having	1
heat	2
heating	3
heating.	1
heavily	1
heinrich	1
hemisphere,	2
hemispheres,	1
hence	2
hence,	1
high	14
high-albedo	1
higher	2
highest	2
highly	1
his	1
hotter	2
however	1
however,	2
human-made	1
hydrogenated	1
ice	3
iceâ€“albedo	1
id="39"	1
if	5
illuminated	1
illumination	4
illumination.	2
illustrated	1
impact	2
impact,	1
impacts	2
important	3
in	41
incident	8
including	1
increase	1
increased	1
increases	2
increasing	1
independent	1
indicate	1
indicative	2
induces	1
industrial	1
infer	1
information	1
insolation	3
insolation)	1
insolation,	1
insolation.	2
insolation:	1
insolation;	1
instruments	1
