	7
"across	1
"adventure	1
"answer"	1
"atlantic"	1
"atlantis	1
"black	1
"call	1
"central	1
"if	1
"la	1
"life	1
"must"	1
"new	1
"ocean"	1
"old	1
"optional"	1
"pre-answer"	1
"protagonist	1
"red	1
"responsa	1
"sea	1
"star	1
"the	5
("answers	1
(1933),	1
(77,640,000â cu	1
(85,100,000â cu	1
(also	1
(bottom	1
(disambiguation)	1
(disambiguation)">	1
(e.g.	2
(greek:	1
(hdt.	1
(other	1
(where	1
-.	1
1.202.4):	1
106,400,000	1
106400000	1
11%	1
1538	1
20	1
20â°	1
22%	1
2700	1
29	1
323,600,000â cubic	1
3339	1
3450	1
354,700,000â cubic	1
3700	1
3926	1
450	1
58â°	1
60â°	1
82400000	1
8380	1
860	1
</doc>	3
<doc	4
a	34
about	5
above	1
abyssal	1
according	1
accumulated	1
across	1
activities	3
additional	1
adjacent	4
adventure	10
adventure",	1
adventurer	2
adventures	2
adventurous	4
adverse	1
africa	2
africa.	1
after	2
ages.	1
agulhas	1
along	2
also	6
america	3
america.	1
american,	1
americans.	1
americas	1
americas.	1
an	17
ancient	1
and	32
andrã©	1
angola,	1
animal	3
animalia	1
animals	1
another.	1
answer	5
antarctica	1
antarctica).	1
antarctica,	1
any	2
apex	1
appearance	1
applied	1
approximately	3
arctic	3
are	8
area	4
area.	1
argentina,	1
ark".	1
around	1
arousal,	1
arraignment	1
as	21
asia)	1
assertion	1
at	2
atlantic	24
atlantic"	4
atlantic's	1
atlantic,	1
atlantic.	2
atlas	3
atlas".	1
atlas).	1
authoritative.	1
authorities	1
average	1
baltic	1
barents	1
basin	1
basins	3
basins,	1
basins.	2
bathymetry	1
bay,	1
bc	1
be	7
became	1
becomes	1
been	3
before	2
believed	1
besides	1
between	7
beyond	1
black	2
blake,	1
bodies	1
body	1
bold,	1
book,	1
border.	1
both	4
bottom	2
boundaries	1
bounded	2
brazil	2
british	2
broadly	1
business	1
by	10
called	1
campbell	2
can	4
canada	1
canal	1
canaries	1
canyons,	1
cape	2
cape,	1
caribbean	1
case,	2
cases	2
celtic	1
century.	1
certain	1
challenging	1
channels	1
character	2
characteristics	1
civil	2
civilization	1
class,	1
climbing,	1
comes	1
common	1
complaint	2
component	1
concept	2
condition	1
connected	1
connects	3
constitute	1
constraints	1
continental	1
continents	2
continents.	1
correct	1
counter-statement	1
counterpoint	1
countersubject)	1
court,	1
court.	1
covering	1
covers	2
create	1
criminal	4
cultural	2
culture	2
cut	1
damages	1
danger	1
daring	1
deep	3
deep.	1
deeps,	1
default	1
defendant	2
defendant,	1
defendant.	1
defense,	1
defines	1
definitions	1
demurrer;	1
denmark	1
depth	2
depth,	1
depths	1
derived	1
describe	1
describing	1
detrimental	1
different	1
dignity?".	1
diminutive	1
discovered	1
discussed	1
dismiss	1
divide	2
divisions,	1
do	1
drains	1
drake	1
draw	1
early	1
earth's	2
east	1
east,	2
education	1
either	4
elongated,	1
encircling	1
english-speaking	1
english:	1
entered	2
enterprise	1
environmental	1
equator	1
equator;	1
equitable	1
errant	1
especially	1
ethiopia,	1
ethiopic	1
eukaryotic	1
eurasia	1
europe,	1
europe.	1
europe:	1
europeans	1
eventual	1
example,	1
examples	1
excitement:	1
exciting	1
exhibits	1
expansion	1
expeditions	1
experience	1
experience.	1
experiences	2
explorers	1
exploring,	1
extending	3
extends	2
extreme	1
faces".	1
fairly	1
famous	1
fear)	1
feature	2
few	1
file	1
filed	1
films,	1
financial	1
fines	1
finite	1
first	2
flat	1
floor	2
floor.	1
flow),	1
followed	2
following	1
for	7
form	2
four	1
fraught	1
from	8
gains	1
generally	2
generally,	1
generations	1
geographical	1
geographically	1
geography.	1
gibraltar	2
gigantic	1
global	2
gradually	1
grants	1
great	1
greatest	1
greek	1
greeks	2
green	1
greenland	1
guiana,	1
guilt	1
guilty	1
guilty.	1
gulf	1
guyots.	1
has	4
have	1
hazardous	1
helen	1
hero	1
herodotus	1
heroic	1
him;	1
his	5
histories"	1
history,	1
holding	1
homer's	1
hudson	1
humaine"	1
humorously	1
iceland	1
id="642"	1
id="679"	1
id="683"	1
id="698"	1
idioms	1
if	1
imprisonment.	1
in	37
indian	3
indictment	1
indigenous	1
information	1
injunction.	1
innocence.	1
instrument	1
intentionally	1
interconnected	1
interpreted	1
into	6
involve	1
irish	1
is	32
islands.	1
it	16
it.	1
its	9
itself.	1
jason	1
joseph	1
journey"	1
journey,	1
judgment	1
judgment.	1
keller	1
kilometers	1
kilometres	1
kind	2
kingdom	1
km2,	1
km2.	1
km2;	1
knight	1
knowledge,	1
known	3
land	1
large	2
larger	1
largest	2
late	2
latin	1
latitude,	1
law,	2
law.	1
lawyers,	1
lead	2
learned	1
learning.	1
legal	1
length.	1
leone	1
less	1
lessons	1
lewis,	1
life	1
life,	1
limit	1
links	1
living	1
longitudinally	1
lost	1
m	1
m,	1
m.	1
m;	1
major	3
making	1
malraux,	1
man	1
man-made	1
many	3
marginal	1
margins	1
marxian	1
maximum	1
may	5
meant	1
mediterranean	2
mention	1
mentioned,	1
merges	1
meridian,	1
metazoa.	1
mexico,	1
mi)	1
mi).	1
mid-19th	1
mid-atlantic	3
middle	1
migration	1
milwaukee	1
modern	1
modification	1
money	1
monomyth	1
most	3
motion	2
motivation.	1
mountain	2
mountains	1
multicellular,	1
music	1
mythological	1
mythologist	1
mythology,	1
mythology.	1
name	2
named	2
nations	1
negative	1
nmi	2
nmi.	1
no	1
north	12
norwegian	1
not	2
nothing."	1
notion	1
novel	1
now	1
numerous	1
objection,	1
occasional	1
occupies	2
ocean	19
ocean">	1
ocean,	4
ocean.	5
oceanic	1
oceans,	1
oceans.	1
odyssey".	1
of	57
oldest	2
on	4
one	2
ones")	1
only	1
open	1
opinion	1
opposition	1
or	29
organism	1
originally	1
other	6
others	1
outcome.	1
outdoor	1
over	2
pacific	4
pacific.	2
panama	1
parallel	1
part	3
participating	1
particular	1
