	1
""banca	1
"avischinaziun".	1
"banca	2
"best	1
"castrated	1
"death	1
"dã©tg"	1
"fat").	1
"fatg"	1
"grischun	1
"haltinger	1
"interrumantsch"	1
"jau"	1
"jau"-sayers').	1
"jauer"	1
"la	1
"ladin"	1
"lungatg	1
"meir"	1
"more	1
"muru(m)"	1
"national	1
"new-born"	1
"official	1
"pioneer-municipalities"	1
"plague"	1
"pledari	1
"pro	1
"putã¨r"	1
"questione	1
"regularly	1
"rhaeto-romance"	1
"rhenish	1
"right	1
"romansh	2
"romonsch	1
"rubadurs	1
"so-called	2
"spiritual	1
"take	1
"territorial	1
"test-tube	1
"tgea",	1
"tgesa",	1
"the	1
"traditional	1
"tuatschin".	1
"vallader"	1
"â â ,	1
"ã¶")	1
"ã¼"	1
'house'.	1
'i',	1
'the	1
'virgin	1
'wall',	1
("dit"	1
(also	1
(derived	1
(graubã¼nden),	1
(of	1
(putã¨r	1
(rm.	2
(sursilvan,	1
(written	1
-ct-,	1
//	3
/t/	1
/té•/	1
0.9%	1
000	1
10	1
10,	2
10th	1
11	1
116	1
11th	1
121	1
13%.	1
15	2
16th	2
17	1
1794,	1
17th	2
18	1
180	1
1803,	1
1814,	1
1848,	1
1854.	1
1860	1
1860,	1
1867	1
1872,	2
1873.	1
1880	1
1888.	1
19	1
1938	1
1938,	1
1956,	1
1958.	1
1976/77,	1
1980s	1
1982	1
1982,	1
1982.	1
1984,	2
1985.	1
1986,	1
1988	1
1990,	1
1991,	1
1991.	1
1992	1
1992.	1
1995	1
1996	1
1996,	1
1996.	1
1997,	1
1999	1
19th	2
1st	1
20%	1
2000	1
2000,	2
2000.	1
2001,	3
2001.	2
2003	2
2003,	3
2004	2
2005.	1
2006	1
2007/08,	1
2009/10.	1
2010,	1
2011	1
2011,	2
2012,	1
2012.	1
2013,	1
2014,	1
2020.	1
215	1
23	1
27,038	1
3	1
30%	1
30.8%	1
32	1
35,095	1
36,622	1
3â€“6	1
3â€“9	1
4	1
4,300	1
4/5	1
41	1
50%	1
51%,	1
56	1
5th	1
6	1
60.4%	1
61,815	1
65%	1
66	1
66%.	1
7.7â million	1
70	1
77.4%	1
78.5%	1
82	1
<doc	1
[]	2
a	113
a,	1
abandoned	1
able	2
abolish	1
above	1
acceptable	1
accepted	1
according	5
acquire	1
actively	1
actual	1
ad,	1
added	2
addition,	2
additional	4
additionally,	3
address	1
addressing	3
administration	6
administrative	2
admits	1
advancing	1
again	3
aged	1
ages,	1
aimed	2
aims	1
albula	1
alemannic	1
all	10
all,	1
allow	1
allowing	1
almost	1
along	3
alongside	4
also	10
always	2
amend	1
among	4
amount	1
an	17
and	133
anna-alice	1
announced	1
announcing	2
another	4
answer	1
antoni	1
any	7
anywhere	1
apart.	1
appear	1
approach	1
april	1
arch-conservative	1
archaic	1
are	20
are:	1
area	12
area,	2
area.	1
areas	3
areas,	2
areas.	2
argue	1
argued	1
arguing	1
argument	1
army	1
around	2
article	3
article,	1
article.	1
artificial	1
as	91
ascoli	1
aside	1
assembly	2
association	1
at	13
attempt	1
attempted	1
attempts	2
august	1
authorities	1
autochthonous	1
available	1
available.	1
baby"	1
bachelor-	1
back	1
ballots	1
ballots,	1
bank	1
based	2
basis	2
battisti's	1
battisti.	1
bavarian	1
be	20
became	5
because	1
because,	1
been	16
began	4
being	4
belongs	1
bernard	1
best	5
between	8
bilingual	6
bilingual.	1
billboards,	1
bills	5
bitter	1
blossoming	1
blow"	1
books	1
borders	1
both	3
branch	1
bregaglia	1
broadened.	1
burning	1
business.	1
but	12
by	32
bã¼hler	1
cadruvi,	1
called	7
calling	2
came	1
can	4
candinas	2
canton	16
canton.	4
cantonal	18
capital	2
carlo	1
carried	1
carry	1
cathomas,	1
celtic	1
census	2
census,	1
censuses	1
censuses.	1
central	4
central"),	1
centuries,	1
centuries-long	1
century	3
century,	3
century.	2
certain	2
chair	1
chances	1
change	2
changes,	1
changing	1
characterized	1
chiefly	1
children	3
choice,	1
choose	1
choosing	1
chur	1
chur,	2
chur.	1
circles,	1
cities	1
citing	1
citizen	2
claim	4
claimed	1
classes	1
classification.	1
clear	1
clear-cut	1
closely	3
coexistence,	1
collected	1
collection	1
combination	1
command	6
command",	1
commercials.	1
common	3
commonly	2
communication	1
companies,	1
comparatively	1
compared	1
composition	1
comprehensible.	1
comprehensive	1
comprises	1
compromise	2
compulsory	2
concept",	1
confederation	2
conferred	1
confused	1
connect	1
consideration	1
considered	2
considered,	1
considered.	1
consisted	1
consisting	1
constance	1
constitution	6
constitution.	1
constitutions	1
contact	1
context	1
continually	1
continue	2
continued	1
continuum	2
contrast	1
contrast,	1
controversial	1
convergence	1
coray	1
corporate	1
correspondence	1
corresponding	1
could	1
country.	1
court	1
court,	1
create	1
creating	1
creation	1
creators	1
criticize	1
cultural	2
culture	3
current	1
cuts,	1
cvp-politicians	1
daily	1
darms	1
dates	1
dazzi-gross.	1
deadline	1
debate	5
decades-long	1
december	2
december,	1
decided	4
deciding	1
decision	5
decision,	1
decisively	1
declared	6
declaring	2
decline	1
dedicated	1
defence"	1
defined,	1
defines	2
definition	1
definition.	1
delegates	1
demand	1
demanding	1
department	1
depending	2
deputy	1
derungs	1
descendant	1
descended	1
descending	1
described	1
describing	1
desecrating,	1
designing	1
destroying,	1
determines	1
develop.	1
developed	2
developing	1
development	1
dialect	8
dialect,	1
dialect.	1
dialectologist	1
dialects	4
dialects,	6
dialects.	3
diaspora",	1
dictionary	1
did	3
differences	1
different	6
directives	1
disadvantages	1
discontinued	2
discredit	1
dislike	1
dispute	1
disputed.	1
disputes	1
distinct	1
distinction	1
distinguished	1
distinguished.	1
distinguishing	2
distribute	1
distribution.	1
districts	2
divergent	1
divided	3
divisions.	1
do	4
documents	1
documents,	2
documents.	1
dolomite	1
domains	1
domleschg,	1
donat	1
due	3
during	3
each	2
earliest	1
early	4
east,	1
education	1
education.	1
educational	1
effort	1
efforts	2
either	4
either.	1
elaboration	1
elementary	1
