	1
"1'"	1
"16'"	1
"16'",	1
"2'"	1
"4'",	1
"51/3'"	1
"8'"	2
"as	1
"beautiful"	1
"cease	2
"classic"	1
"de	1
"diving	1
"electrical	1
"expression"	1
"false	1
"fine",	1
"harmonic	1
"modesty	1
"new	1
"on"	1
"phonic	1
"probably	1
"real",	1
"run"	2
"single-trigger,	1
"start"	2
"swell"	1
"the	2
"tudor	1
"vibrato	2
"warm	1
"waterfall"	1
"when	1
$10,000	1
$1000.	1
$15	1
$2600	1
$75,000	1
$9,795	1
(1976)	1
(1977),	1
(5-octave)	1
(ago)	1
(also	1
(b	1
(c),	1
(ftc)	1
(i.e.,	2
(ic)	1
(naturals	1
(vibrato	2
(which	1
/	1
1,750	1
12	3
12-	1
12-note	1
13	1
13-note	1
1897	1
1916.	1
1920s	1
1928.	1
1930s	1
1930s,	1
1934,	1
1935	1
1935,	1
1935.	1
1936,	1
1936.	1
1937,	1
1938,	1
1938.	1
1939.	1
1940s,	1
1940s.	1
1948	2
1949,	2
1951	1
1951,	1
1954,	1
1955	1
1955,	1
1959,	1
1960s	1
1960s,	1
1961,	1
1963.	1
1964.	1
1964;	1
1965,	1
1966,	1
1967.	1
1968	1
1970s	2
1971.	1
1975,	3
1975.	1
1977	1
1979,	1
1983.	1
1985.	1
200	1
2002,	1
24,	1
25	2
25-key	1
3	2
32	1
32-note	3
3d	1
44-note	1
50,000	1
61-key	1
61-note	1
8000	1
8000m	1
888000000	1
<doc	1
[h-100s]	1
a	116
a,	1
a-100	2
a-105	1
a-143	1
a.	1
ab	2
abandoned	1
about	5
above	3
accommodate	1
accurate	1
accurately	1
achieve	1
achieved	1
action,	1
activate	1
activating	1
added	1
addition	1
additional	3
address	1
advertisements	2
advertising	1
aesthetically	1
after	3
again.	1
against	1
albeit	1
all	7
all-solid-state,	1
allow	1
allowed	1
allowing	1
allows	1
also	8
alternative	2
alternators	2
although	1
amateur	1
american	2
amounts.	1
amplification,	1
amplifier	1
amplifier.	1
an	17
analog	1
and	101
another	1
appeared	1
appeared.	1
april	2
are	7
argued	1
around	2
as	34
asked	1
assertions	1
assistant	1
associated	3
at	6
attempt	2
attempted	1
attempts	1
attorneys	1
audio	1
auditory	2
aurora	2
automatic	1
available	4
b	1
b-2	2
b-2/c-2	1
b-3	4
b-3"	1
b-3,	1
b-3.	4
b-3/c-3	1
b-3/c-3,	1
b-3s	1
b3	1
b4.	1
background.	1
band.	1
based	1
bass	1
bass"	1
bc	1
bc,	1
bcv	1
be	14
became	3
because	3
become	1
been	8
been,	1
before	1
being	5
below,	1
bend	1
best	1
between	4
bi-monthly	1
big	1
black,	1
blues,	1
board"	1
board.	1
body	1
both	1
bridge	2
bridged	1
briefly	1
british	1
built-in	4
bulky,	1
business	2
business,	2
but	10
button.	1
bv	1
by	23
b♭)	1
c	5
c,	1
c-2,	1
c-3	2
c-3.	1
c-3s),	1
c1,	1
c2	1
c3	1
cabinet	2
cahill.	1
came	1
can	7
cancel	1
cases	1
cassette	1
cater	1
causing	1
center-point	1
centered	1
certain	1
changed	1
changes	1
chapel.	1
chassis,	1
cheaper	3
cherry	1
chicago	1
chicago.	1
child	1
children	1
chord,	1
chorus	6
chorus),	1
chorus).	1
chorus-vibrato	1
chorus.	2
church	5
church,	1
church.	1
churches	3
churches,	1
circuit	2
circuitry,	1
circuits.	1
cited	1
claimed	3
claiming	1
claims	1
claims,	1
clavia,	1
clock	1
clock,	1
clocks	1
clocks,	1
clone	1
color-coded	1
colored	1
coloring	1
combinations	1
combined	2
come	2
coming	1
commercially	1
commission	1
commonly	2
community.	1
compact.	1
companies,	1
company	7
company's	3
company,	3
competition	1
complaint	3
complex	1
component,	1
concept	1
concerns	1
concert	2
concorde,	1
concurrent	1
congregation.	1
consideration	1
considered	1
consists	1
console	8
consoles	2
consoles,	1
contain	2
contained	7
contains	1
continued	2
continues	1
continuous	1
continuously	1
contrast	1
control	1
control,	1
controlled	1
controls	1
cornell	1
corporation,	1
corresponding	1
corresponds	1
cost	1
cost-reduced	1
costing	1
costs,	1
could	4
cover	1
covered	1
create	2
created	2
creating	1
criticism	1
culminated	1
current	1
cut	1
cuts	1
cutting	1
cv	1
d	1
d-100	3
de-activates	1
dealers	1
dealerships	1
decaying	1
december	1
decent.	1
decided	1
decision,	1
declined	1
decreased	1
dedicated	2
deeper	1
degree	1
delivered	1
depression	1
derives	2
described	2
design,	1
designed	4
desired	1
desist"	2
despite	1
determining	1
development	1
did	5
die-hard	1
difference	1
different	4
digital	3
digits	1
disabled	1
distinctive	1
distinguish	1
divided	1
division.	1
do	1
drawbar	9
drawbars	12
drawbars,	1
drawbars.	3
drives	1
drum	1
due	1
during	3
dv	1
e	2
e,	1
e-100	1
e-series	1
each	11
each,	1
earlier	2
early	5
easily	1
economy	1
edges,	1
effect	5
effect,	1
effectively	1
either	1
electric	6
electromagnetic	1
electronic	2
electronics	1
elsewhere	1
employees	1
employment	1
emulate	2
emulated	1
emulations	1
enabled	1
encourage	1
end	2
engineer	1
engineering	1
enough	6
entered	1
enthusiasts	1
entire	1
entirely	1
equivalent	1
estimated	2
ever	1
example,	1
except	1
excerpts	1
expense."	1
expensive	2
explaining	1
expression	2
extra	1
facto"	1
fader	1
fades	1
families	1
far	2
feature	1
feature,	1
feature.	1
featured	1
features	2
features.	3
federal	1
feet,	1
feet.	1
filed	2
financial	1
financially	1
finish	2
finish,	1
first	7
fitted.	1
flagship	1
flat	1
flat-front	1
flats	1
flip	1
flute	1
followed	2
for	32
form	1
found	4
four	2
frequency	1
from	11
front	2
ftc	2
ftc's	2
full	3
full-time.	1
fully	1
fundamental	1
g	1
gap	1
gathered	1
gears	1
generate	4
generated	3
generates	2
generation	1
generator	2
generator,	2
generator.	1
generators,	1
glasses	1
going	1
good	1
got	1
graduated	1
great	1
greater	1
group	1
groups:	1
guessed	1
guild	1
h-100	2
had	17
half	1
hammond	57
hammond's	1
hammond,	1
hammond-suzuki	2
hammond-suzuki.	1
hammond.	2
hammonds	2
hammonds,	1
hanert	1
hanert,	1
harmonic	6
harp,	1
harvey	1
has	4
have	13
he	5
hearing	2
hearings	1
heavily	1
help	1
hence	1
high	1
him	2
his	5
history.	1
home	3
how	1
however,	3
ic	1
id="13312"	1
idea	1
ideal	1
identical	1
identified	1
identify	1
ii.	1
immediately	1
important	1
in	69
in,	1
include	3
included	11
including	3
increased	2
increases	1
incrementally	1
independently.	1
individual	1
inefficiency,	1
ingredient	1
inspired	1
installed	1
instead	4
instrument	6
instrument",	1
instrument,	1
instrument.	3
instruments	6
instruments.	1
integrated	2
internal	1
internally	2
internals	1
into	4
introduced	10
introduction	1
invented	1
invention	1
inventions	1
involves	1
is	22
it	27
it,	1
it.	1
it."	1
its	9
japanese	1
jazz	1
jimmy	2
john	1
july	1
june	2
just	1
key	6
key,	1
keyboard,	1
keyboards	2
keys	7
keys,	2
keys.	1
known	5
korg,	1
l-100	3
l-100,	1
l.	1
labeling	1
labelled	1
lahey,	1
laid	1
large	1
last	3
late	1
later	1
laurens	2
laymen	1
learn	1
leaving	1
led	1
left	2
legato	1
length	1
lengthy	1
leslie	3
life	1
lifetime;	1
light	1
lightweight	1
like	3
line	1
listeners	1
listening	1
local	1
look	1
loud	1
lower	2
lower-cost	1
lucrative	1
m	4
m,	1
m-100	1
m-100.	1
m-2	1
m-3	1
m.	1
machine,	1
made	6
made".	1
made,	1
mailed	1
main	1
make	1
making	3
manipulated	1
manipulation	1
manner	1
manual	4
manual,	4
manual.	3
manuals	2
manuals,	1
manuals.	2
manufacture	2
manufacture.	1
manufactured	5
manufactured,	1
manufacturing	3
manufacturing,	1
many	1
marimba.	1
marked	3
market	2
market,	2
marketed	1
may	1
mechanical	1
metal	2
middle	2
million	2
mimic	1
miniature	1
misleading"	1
mixed	1
mixing	2
model	16
model,	2
models	17
models,	2
models.	1
modern	3
modesty	1
money	1
month.	1
more	9
most	9
motor	2
motor,	1
moving	1
much	2
music,	1
music.	1
musical	3
musician,	1
musicians	3
musicians,	2
musicians.	1
must	2
name	1
native	1
near	1
nearly	1
new	1
newsletter,	1
nihon	1
nine	1
no	2
normal	1
not	12
notable	1
note	4
note's	1
note.	3
notes	2
notes,	3
notes.	1
number	5
numbering	2
numbers	1
oak	1
octave	2
octave,	1
octaves	1
october	1
of	77
off	1
office	1
offshoot,	1
often	2
old	1
older	1
olsen	1
on	26
one	6
one,	1
only	5
only)	1
or	15
order.	1
ordered	1
organ	31
organ".	1
organ">	1
organ's	2
organ,	5
organ.	3
organists	1
organs	15
organs,	5
organs.	10
original	5
originally	2
oscillator,	1
other	11
