	4
"angels"	1
"blood	1
"boy	1
"c"	1
"ezorongondo".	1
"interview	2
"o	1
"prince	2
"queen	1
"sã£o	1
"the	7
"walfischbai",	1
"walfischbucht"	1
"walvisbaai",	1
"whale	1
("bwn",	1
(1988)	1
(a	1
(according	1
(afrikaans	1
(as	1
(government-run)	1
(ium)	1
(maharet	1
(namfi)	1
(the	1
(which	1
(who	3
,	1
10â mm	1
1485.	2
1487,	1
1878,	1
1910,	1
1911	1
1915	1
1921	1
1922.	1
1971,	1
1977,	1
1978,	1
1990	1
1994	1
19th	1
2014,	1
2014.	1
28	1
28,	1
29	1
2â km	1
434	1
7	1
8	1
85,000	1
9,	1
90	1
</doc>	1
<doc	2
a	43
abducted	1
able	1
about	2
absence,	1
abundant	1
according	1
accounts	1
act	1
activities,	1
activity	1
adjacent	1
administer	1
administration	1
admit	1
advice	1
afloat	1
africa	11
africa,	3
africa.	3
african	4
after	1
afterward	1
afterward,	1
again	1
ago.	1
akasha	15
akasha's	2
akasha,	3
alex,	1
all	3
allocated	1
allows	2
along	1
already	1
also	6
although	1
ambitions	1
amel	2
amel,	1
among	1
an	14
anchored	1
anchovy,	1
ancient	1
and	76
angling,	1
angry	1
anne	2
annexation.	1
annexe	1
announced	1
another	1
answered	1
anticipating	1
any	1
appear	1
aquatic	1
are	13
are,	1
area	3
arid	2
armand's	1
armand,	2
arose	1
around	3
arrows	1
artificial	1
as	17
asks	1
assassinate	1
assemble	1
assembled	1
assistance,	1
at	6
attacks	1
attempt	1
attempting	2
attending	1
attention	1
attracting	1
attractions	1
average	1
avoid	1
awakened	2
awarded	1
b2	1
back	5
band	1
bartolomeu	1
based	2
bay	29
bay")	1
bay">	1
bay's	1
bay,	6
bay.	7
baye	1
be	4
beach	2
beauty	1
became	1
because	2
become	2
becomes	1
been	5
before	2
begins	1
being	3
benguella	2
between	1
bilateral	1
bird	1
birdlife,	1
blocked	1
blood	1
blood,	1
blood.	1
bloodthirsty	1
bloodthirsty,	1
blue	2
boasting	1
bodies	1
body	1
body.	1
book,	1
books,	1
both	2
boundaries.	1
brain),	1
brain,	1
branches	1
brief	1
bring	1
britain.	1
british	1
but	5
by	13
cadilu	1
call	1
called	2
calls	1
campaign	1
can	1
cannot	1
cape	8
cape.	1
capricorn	1
cast	1
catch	1
catching	1
cater	1
catfish,	1
caught	2
cell	1
center	1
centre	1
century.	1
cession	1
chance	2
changed	1
chapters	1
chapters:	1
characters	1
chief	1
children.	1
chronicles"	2
cities	1
cities.	1
city	2
city.	1
civilian	1
claim	2
class	1
classification).	1
cliffhanger	1
climate	2
climate,	1
climate.	1
climate;	1
clubs	2
coast.	2
codes.	1
coffins	1
cold	1
cold,	1
collection	1
college	1
colonised	1
colonists	1
colony	1
colony,	2
combines	1
combustion.	1
comes	1
commercial	1
commons	1
communicate	1
companies	2
company,	2
compete	1
complicated	1
compound	2
compound.	2
conceiã§ã£o."	1
concert,	1
concert.	1
condemns	1
confronts	1
congregate	1
consequently	1
consort	1
consortium	1
conspirators,	1
consumes	1
contains	1
continually	1
continuation	1
control	4
control.	1
cookie.	1
correctly	1
could	1
council	1
country's	1
couple	1
court.	1
creation	1
cristã³vã£o"	1
cross,	1
culture,	1
currents	1
curses	1
cã£o	1
da	1
damned	2
damned",	1
damned".	2
damned">	1
damned.	1
daniel	1
daniel,	1
date	1
dates	1
daughter	1
david	1
days.	1
de	1
deals	1
december	1
decline	1
deepwater	1
delta	2
demand	1
depart	1
descendants	1
descendants.	1
desert.	1
desire	1
desiring	1
despite	1
destroy	3
destroyed	1
destroys	1
developed	1
development	1
diamond	1
dias,	1
did	1
different	5
diogo	1
direct	1
discover	1
discovered	1
dispute	1
down	1
dreams	1
drew	1
driest	1
drink	1
due	1
duinesig	1
dune	1
dune,	1
dunes,	1
during	4
dutch	1
dying	1
dying,	1
each	1
early	1
east	1
eats	1
economy.	2
eden	1
education	1
education.	1
egypt	1
egypt),	1
egypt.	1
eleven	1
enclave	2
enclave's	1
end	2
ends	1
english	1
enjoy	1
enkil	3
ensnare	1
ensure	1
enterprise	1
enterprises,	1
enters.	1
entertainment	1
eric,	1
escapes,	1
establish	1
established	1
etale	1
ethnicity,	1
etosha	1
eventual	1
eventually	4
every	1
evil	1
exclave.	1
exorcise	1
expedition	1
explains	2
explores	1
export	1
exporters	1
external	1
extremely	1
eyes	2
f.c.	1
f.c.,	1
facet	1
fact	2
fact,	1
family	2
family.	1
favors	1
feature	1
features	1
featuring	1
february	1
feel	1
few	1
fields,	1
filling	1
find	1
fire	1
fish	4
fish.	1
fisheries	1
fisheries,	2
fishing	6
fishing,	2
fishing.	1
five,	1
flagship	1
flee	1
flesh	1
florida	1
follow	1
followed	1
follows	2
football	1
for	12
forces	1
forest.	1
forestall	1
formal	1
formally	2
four,	1
from	3
further	1
future	1
gabrielle	1
gabrielle.	1
gain	1
gained	1
gathered	1
german	4
germans	3
germany	1
gets	1
glee.	1
go	1
goddess.	1
golf	1
golfo	1
good	2
government	1
government,	2
great	3
griqualand	1
group	1
guano	1
guilty	1
had	3
hake,	1
hangana	2
harbour	3
harbour's	1
harbour,	1
has	8
have	2
haven	1
having	2
he	2
head.	1
heart.	1
help	3
help.	1
her	16
her,	1
herero	1
high	1
him	1
his	10
history	1
history.	1
home	4
hope	1
hope.	1
horse	1
hostile	1
hot	1
house	1
however,	2
human	1
humanity	1
husband	1
i.	1
id="42895"	1
id="42906"	1
ideal	1
if	2
imminent	1
important	1
in	52
incarcerated	1
incensed	1
inciting	1
include	1
includes	1
including	1
incorporate	1
incorporation,	1
independence	1
indoor	1
industry,	1
inflicts	1
informs	1
inhabitants	1
injured	1
inspired	1
installment	1
institute	1
institution	1
integral	1
integrated	1
international	2
into	9
invasion	1
invisible	2
is	24
island)	1
island,	2
islands	1
it	14
its	8
itself	2
jesse	1
